"missingExerciseId","missingExerciseName","sourceType","candidateExerciseId","candidateExerciseName","sourceImageUrls","confidence","reason","matchedBy","wouldApply","applied","notes"
"46","Pec deck","manual_review","253","Bodyweight Flyes","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bodyweight_Flyes/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bodyweight_Flyes/1.jpg","medium","muscolo principale compatibile; categoria compatibile; movimento compatibile; 2 immagini disponibili","fuzzy","false","false","primary ok; equipment no; category ok; movement ok; score=0.45"
"47","Push-up inclinati","manual_review","327","Clock Push-Up","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Clock_Push-Up/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Clock_Push-Up/1.jpg","medium","muscolo principale compatibile; attrezzatura compatibile; categoria compatibile; movimento compatibile; 2 immagini disponibili","metadata","false","false","primary ok; equipment ok; category ok; movement ok; score=0.68"
"48","Dip alle parallele","manual_review","365","Dips - Chest Version","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Dips_-_Chest_Version/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Dips_-_Chest_Version/1.jpg","medium","muscolo principale compatibile; categoria compatibile; movimento compatibile; 2 immagini disponibili","fuzzy","true","true","primary ok; equipment no; category ok; movement ok; score=0.45; allowlist approvata"
"49","Pullover manubrio","manual_review","238","Bent-Arm Dumbbell Pullover","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bent-Arm_Dumbbell_Pullover/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bent-Arm_Dumbbell_Pullover/1.jpg","medium","muscolo principale compatibile; attrezzatura compatibile; categoria compatibile; movimento compatibile; 2 immagini disponibili","metadata","true","true","primary ok; equipment ok; category ok; movement ok; score=0.68; allowlist approvata"
"50","Pullover macchina","manual_review","13","Chest press macchina","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Machine_Bench_Press/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Machine_Bench_Press/1.jpg","medium","alternativa interna collegata; muscolo principale compatibile; attrezzatura compatibile; categoria compatibile; movimento compatibile; 2 immagini disponibili","alias","false","false","primary ok; equipment ok; category ok; movement ok; score=0.716"
"55","Rematore macchina","manual_review","567","Leverage Iso Row","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Leverage_Iso_Row/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Leverage_Iso_Row/1.jpg","medium","muscolo principale compatibile; attrezzatura compatibile; categoria compatibile; movimento compatibile; 2 immagini disponibili","metadata","true","true","primary ok; equipment ok; category ok; movement ok; score=0.61; allowlist approvata"
"57","Chest supported row","manual_review","567","Leverage Iso Row","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Leverage_Iso_Row/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Leverage_Iso_Row/1.jpg","medium","muscolo principale compatibile; attrezzatura compatibile; categoria compatibile; movimento compatibile; 2 immagini disponibili","metadata","true","true","primary ok; equipment ok; category ok; movement ok; score=0.596; allowlist approvata"
"58","Reverse fly machine","none","739","Reverse Machine Flyes","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Reverse_Machine_Flyes/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Reverse_Machine_Flyes/1.jpg","none","nessuna fonte interna o locale affidabile trovata","none","false","false","nessun candidato con compatibilita sufficiente"
"59","Hyperextension","none","482","Hyperextensions (Back Extensions)","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Hyperextensions_Back_Extensions/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Hyperextensions_Back_Extensions/1.jpg","none","nessuna fonte interna o locale affidabile trovata","none","false","false","nessun candidato con compatibilita sufficiente"
"60","Lat pulldown presa neutra","imported_dataset","333","Close-Grip Front Lat Pulldown","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Close-Grip_Front_Lat_Pulldown/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Close-Grip_Front_Lat_Pulldown/1.jpg","high","alias esplicito; muscolo principale compatibile; categoria compatibile; movimento compatibile; 2 immagini disponibili","alias","true","true","primary ok; equipment no; category ok; movement ok; score=0.915"
"62","T-bar row supportato","manual_review","567","Leverage Iso Row","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Leverage_Iso_Row/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Leverage_Iso_Row/1.jpg","medium","muscolo principale compatibile; attrezzatura compatibile; categoria compatibile; movimento compatibile; 2 immagini disponibili","metadata","false","false","primary ok; equipment ok; category ok; movement ok; score=0.596"
"64","Pullover macchina dorsali","none","567","Leverage Iso Row","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Leverage_Iso_Row/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Leverage_Iso_Row/1.jpg","none","nessuna fonte interna o locale affidabile trovata","none","false","false","nessun candidato con compatibilita sufficiente"
"65","Dead hang","none","78","Scapular pull-up","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Scapular_Pull-Up/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Scapular_Pull-Up/1.jpg","none","nessuna fonte interna o locale affidabile trovata","none","false","false","nessun candidato con compatibilita sufficiente"
