"missingExerciseId","missingExerciseName","candidateExerciseId","candidateExerciseName","confidence","reason","matchedBy","sourceImageUrls","wouldApply","applied","notes"
"82","Leg extension","559","Leg Extensions","high","slug simile; nome simile; muscolo principale compatibile; attrezzatura compatibile; categoria compatibile","normalized","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Leg_Extensions/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Leg_Extensions/1.jpg","true","true","primary ok; equipment ok; category ok; movement no; score=0.96"
"83","Affondi camminati","255","Bodyweight Squat","none","muscolo principale compatibile; attrezzatura compatibile; categoria compatibile","metadata","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bodyweight_Squat/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bodyweight_Squat/1.jpg","false","false","primary ok; equipment ok; category ok; movement no; score=0.4"
"84","Bulgarian split squat","872","Split Squat with Dumbbells","low","muscolo principale compatibile; categoria compatibile","normalized","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Split_Squat_with_Dumbbells/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Split_Squat_with_Dumbbells/1.jpg","false","false","primary ok; equipment no; category ok; movement no; score=0.4"
"86","Goblet squat talloni rialzati","2","Goblet squat","none","link in alternatives; muscolo principale compatibile; attrezzatura compatibile; categoria compatibile; movimento compatibile","alias","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Goblet_Squat/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Goblet_Squat/1.jpg","false","false","primary ok; equipment ok; category ok; movement ok; score=0.7467"
"88","Spanish squat","878","Squats - With Bands","none","muscolo principale compatibile; attrezzatura compatibile; categoria compatibile","metadata","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Squats_-_With_Bands/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Squats_-_With_Bands/1.jpg","false","false","primary ok; equipment ok; category ok; movement no; score=0.5067"
"89","Reverse lunge","255","Bodyweight Squat","none","muscolo principale compatibile; attrezzatura compatibile; categoria compatibile","metadata","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bodyweight_Squat/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bodyweight_Squat/1.jpg","false","false","primary ok; equipment ok; category ok; movement no; score=0.4"
"90","Sissy squat assistito","990","Weighted Sissy Squat","low","muscolo principale compatibile; categoria compatibile","normalized","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Weighted_Sissy_Squat/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Weighted_Sissy_Squat/1.jpg","false","false","primary ok; equipment no; category ok; movement no; score=0.4"
"91","Romanian deadlift bilanciere","749","Romanian Deadlift","high","alias esplicito; muscolo principale compatibile; attrezzatura compatibile; categoria compatibile","alias","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Romanian_Deadlift/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Romanian_Deadlift/1.jpg","true","true","primary ok; equipment ok; category ok; movement no; score=1"
"93","Leg curl seduto","786","Seated Leg Curl","high","alias esplicito; muscolo principale compatibile; attrezzatura compatibile; categoria compatibile","alias","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Seated_Leg_Curl/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Seated_Leg_Curl/1.jpg","true","true","primary ok; equipment ok; category ok; movement no; score=1"
"94","Leg curl fitball","196","Ball Leg Curl","low","muscolo principale compatibile; attrezzatura compatibile; categoria compatibile","normalized","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Ball_Leg_Curl/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Ball_Leg_Curl/1.jpg","false","false","primary ok; equipment ok; category ok; movement no; score=0.56"
"97","Back extension glute focus","104","Single leg glute bridge","none","muscolo principale compatibile; categoria compatibile; movimento compatibile","fuzzy","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Single_Leg_Glute_Bridge/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Single_Leg_Glute_Bridge/1.jpg","false","false","primary ok; equipment no; category ok; movement ok; score=0.4057"
"98","Abductor machine","6","Hip thrust bilanciere","none","muscolo principale compatibile; categoria compatibile; movimento compatibile","fuzzy","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Barbell_Hip_Thrust/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Barbell_Hip_Thrust/1.jpg","false","false","primary ok; equipment no; category ok; movement ok; score=0.36"
